,Acidity,Aftertaste,Aroma,Bag Weight,Balance,Body,Category.One.Defects,Category.Two.Defects,Clean Cup,Color,Company,Country of Origin,Cupper Points,Expiration,Farm Name,Flavor,Grading Date,Harvest Year,ICO Number,In-Country Partner,Mill,Moisture,Number of Bags,Processing Method,Producer,Region,Species,Sweetness,Uniformity,Variety,altitude_high_meters,altitude_low_meters,altitude_mean_meters,quality_score
385,7.5,7.75,7.33,60 kg,7.83,7.42,0,6,10.0,Green,bourbon specialty coffees,Brazil,7.75,"January 15th, 2016",CACHOEIRA DA GRAMA FARM,7.83,"January 15th, 2015",2014,002/4542/0886,Brazil Specialty Coffee Association,,0.12,300,Semi-washed / Semi-pulped,GABRIEL CARVALHO DIAS,vale da grama,Arabica,10.0,10.0,Yellow Bourbon,,,,83.42
386,7.67,7.58,7.75,60 kg,7.58,7.58,0,4,10.0,Green,ngila estate ltd,"Tanzania, United Republic Of",7.58,"December 12th, 2015",Ngila Estate,7.67,"December 12th, 2014",2014,C50,Africa Fine Coffee Association,ngila estate ltd,0.13,39,Washed / Wet,Ngila Estate Ltd,karatu northern,Arabica,10.0,10.0,Bourbon,1600.0,1600.0,1600.0,83.42
387,7.75,7.25,7.58,70 kg,8.58,7.75,0,1,10.0,Green,ecom cca sa,Colombia,7.58,"October 15th, 2015",,7.58,"October 15th, 2014",2014/2015,15-3-79-0002,Almacafé,trilladora boananza,0.12,250,Washed / Wet,,huila,Arabica,10.0,9.33,Caturra,1813.0,1813.0,1813.0,83.42
388,7.83,7.33,7.75,69 kg,7.67,7.5,0,1,10.0,Green,"unex guatemala, s.a.",Guatemala,7.5,"August 21st, 2015",EL PAPATURRO,7.83,"August 21st, 2014",2013,11/23/0562,Asociacion Nacional Del Café,beneficio ixchel,0.1,250,Natural / Dry,AMILCAR LAPOLA,oriente,Arabica,10.0,10.0,Bourbon,1219.2,1219.2,1219.2,83.42
389,7.83,7.5,7.67,69 kg,7.5,7.58,0,2,10.0,Green,"siembras vision, s.a.",Guatemala,7.58,"February 18th, 2015",FINCA MEDINA,7.75,"February 18th, 2014",2014,11/11711/6,Asociacion Nacional Del Café,beneficio siembras vision (154),0.1,250,Washed / Wet,"SIEMBRAS VISIÓN, S.A.",antigua,Arabica,10.0,10.0,Caturra,1500.0,1500.0,1500.0,83.42
390,7.42,7.75,7.67,69 kg,7.75,7.75,0,0,10.0,Green,"unex guatemala, s.a.",Guatemala,7.58,"July 16th, 2014",EL MORITO,7.5,"July 16th, 2013",2013,11/23/1040,Asociacion Nacional Del Café,beneficio ixchel,0.11,250,Washed / Wet,ROBERTO MONTERROSO,oriente,Arabica,10.0,10.0,Bourbon,1310.64,1310.64,1310.64,83.42
391,7.58,7.67,7.42,100 lbs,7.67,7.67,0,2,10.0,Green,kona pacific farmers cooperative,United States (Hawaii),7.67,"January 24th, 2014",,7.75,"January 24th, 2013",2012,2233803 KONA NO. 1,Specialty Coffee Association,,0.0,13,Natural / Dry,,kona,Arabica,10.0,10.0,Hawaiian Kona,,,,83.42
392,7.5,7.58,7.5,70 kg,7.75,7.67,0,2,10.0,Green,exportadora de cafe condor s.a,Colombia,7.67,"June 26th, 2013",varios,7.75,"June 26th, 2012",2012,3-68-0147,Almacafé,trilladora boananza,0.11,250,Washed / Wet,Exportadora de cafe condor,cundinamarca,Arabica,10.0,10.0,Caturra,1450.0,1450.0,1450.0,83.42
393,7.67,7.58,7.58,70 kg,7.67,7.75,1,3,10.0,,,Colombia,7.58,"February 1st, 2012",,7.58,"February 1st, 2011",,03-01-0424,Almacafé,,0.1,250,,,huila,Arabica,10.0,10.0,,,,,83.42
394,7.67,7.42,7.5,60 kg,7.58,7.83,0,0,10.0,,,United States (Hawaii),7.5,"December 27th, 2011",Kona Pacific Farmers Co-Op,7.92,"December 27th, 2010",2010,HDOA 210127 Kona Extra Fancy,Specialty Coffee Association,,0.01,12,,Kona Pacific Farmers Co-Op,kona,Arabica,10.0,10.0,,,,,83.42
395,7.92,7.5,7.58,1 lbs,7.42,7.92,0,0,10.0,,,Thailand,7.83,"April 13th, 2011",Doi Tung Development Project,7.25,"April 13th, 2010",,,Specialty Coffee Association,,0.11,4,,Doi Tung Development Project,,Arabica,10.0,10.0,Peaberry,,,,83.42
396,7.63,7.38,7.25,6,8.75,7.5,2,4,10.0,,,Mexico,8.0,"May 26th, 2011",,7.88,"May 26th, 2010",January Through April,016-2729-001-A-LAB-SS2,Specialty Coffee Association,,0.09,6,,"Productores de Cafe de El Cuarenteno, S. de P.R. de R.L",nayarit,Arabica,10.0,9.0,,1200.0,900.0,1050.0,83.38
397,7.58,7.75,7.75,70 kg,7.58,7.58,0,0,10.0,,exportadora de cafe condor s.a,Colombia,7.58,"November 8th, 2017",Various,7.5,"November 8th, 2016",2016,68-0054,Almacafé,bonanza - armenia,0.0,275,Washed / Wet,various,huila,Arabica,10.0,10.0,Caturra,1650.0,1650.0,1650.0,83.33
398,7.42,7.58,7.67,70 kg,7.75,7.67,0,0,10.0,Blue-Green,racafe & cia s.c.a,Colombia,7.67,"June 15th, 2017",,7.58,"June 15th, 2016",2016,3-37-3729,Almacafé,bachue,0.0,130,Washed / Wet,,guayata,Arabica,10.0,10.0,Caturra,,,,83.33
399,7.58,7.58,7.83,70 kg,7.58,7.5,1,2,10.0,Green,racafe & cia s.c.a,Colombia,7.67,"May 5th, 2017",,7.58,"May 5th, 2016",2016,3-37-2623,Almacafé,bachue,0.0,275,Washed / Wet,La Plata,huila,Arabica,10.0,10.0,Caturra,,,,83.33
400,7.58,7.33,7.5,2 kg,7.92,7.58,1,5,10.0,Green,ipanema coffees,Brazil,7.58,"October 11th, 2016",Rio Verde,7.83,"October 12th, 2015",2015/2016,002/1660/0106,Specialty Coffee Association,ipanema coffees,0.1,10,Semi-washed / Semi-pulped,Ipanema Agrícola SA,south of minas,Arabica,10.0,10.0,Catuai,1227.0,1227.0,1227.0,83.33
401,7.67,7.5,7.75,1 kg,7.58,7.5,0,2,10.0,Green,exportadora café california,Mexico,7.58,"July 13th, 2016",ECC,7.75,"July 14th, 2015",2014,1620280402,Asociación Mexicana De Cafés y Cafeterías De Especialidad A.C.,ecc,0.12,275,Washed / Wet,ECC,chiapas,Arabica,10.0,10.0,Caturra,1200.0,1200.0,1200.0,83.33
402,7.83,7.42,7.67,70 kg,7.42,7.83,0,1,10.0,Green,exportadora de cafe condor s.a,Colombia,7.42,"April 7th, 2016",varios,7.75,"April 8th, 2015",2015,3-68-0103,Almacafé,trilladora agricola,0.11,275,Washed / Wet,varios,santander,Arabica,10.0,10.0,Caturra,1650.0,1650.0,1650.0,83.33
403,7.58,7.67,7.75,60 kg,7.58,7.58,0,6,10.0,Green,mondul coffee estate,"Tanzania, United Republic Of",7.58,"December 12th, 2015",Mondul Coffee Estate,7.58,"December 12th, 2014",2014,C27,Africa Fine Coffee Association,mondul coffee estate,0.12,10,Semi-washed / Semi-pulped,Mondul Coffee Estate,arusha,Arabica,10.0,10.0,Other,1700.0,1700.0,1700.0,83.33
404,7.67,7.58,7.67,1 kg,7.58,7.5,0,0,10.0,Green,"café andrade, s.a. de c.v.",Mexico,7.67,"July 15th, 2015",EL PINO,7.67,"July 15th, 2014",2013,0,AMECAFE,"el pino, cosautlan de carvajal",0.12,200,Washed / Wet,JOSÉ LUIS ANDRADE SANDARA,veracruz,Arabica,10.0,10.0,Other,1100.0,1100.0,1100.0,83.33
405,7.67,7.42,7.67,3 lbs,7.67,7.67,0,3,10.0,Green,the coffee source inc.,Costa Rica,7.58,"April 7th, 2015",SEVERAL,7.67,"April 7th, 2014",2014,5-562-0013,Specialty Coffee Association,cafe altura de san ramon,0.12,250,Washed / Wet,SEVERAL,san ramon,Arabica,10.0,10.0,Caturra,1300.0,1300.0,1300.0,83.33
406,7.67,7.83,7.83,100 lbs,8.0,7.92,0,1,10.0,Bluish-Green,kona pacific farmers cooperative,United States (Hawaii),7.83,"February 25th, 2015",,7.58,"February 25th, 2014",2014,KP012314,Specialty Coffee Association,,0.11,12,Natural / Dry,,kona,Arabica,9.33,9.33,Hawaiian Kona,,,,83.33
407,7.5,7.67,7.5,1 kg,7.17,7.83,0,3,10.0,Green,coricafe s.a.,Costa Rica,8.0,"February 14th, 2015",SEVERAL,7.67,"February 14th, 2014",2013,5-0048-0023,Specialty Coffee Association of Costa Rica,several - coricafe dry mill,0.11,250,Washed / Wet,CORICAFE BLEND,central valley,Arabica,10.0,10.0,Catuai,1300.0,1100.0,1200.0,83.33
408,7.83,7.58,7.83,5 lbs,7.58,7.92,0,5,10.0,Green,sustainable harvest,Peru,7.5,"January 21st, 2015",,7.75,"January 21st, 2014",2013,030-0695-1742,Specialty Coffee Association,,0.12,280,Washed / Wet,,,Arabica,10.0,9.33,,,,,83.33
409,7.5,7.67,7.58,4 lbs,7.42,7.83,0,4,10.0,Green,itiah coffee llc.,Haiti,7.83,"October 3rd, 2014",MARRE BLANCHE,7.5,"October 3rd, 2013",2012,,Specialty Coffee Association,,0.11,2,Washed / Wet,COOPCAB,"thiotte, haiti",Arabica,10.0,10.0,Typica,1280.16,1280.16,1280.16,83.33
410,7.67,7.5,7.67,70 kg,7.42,7.92,0,1,10.0,Green,carcafe ltda,Colombia,7.5,"April 26th, 2014",,7.67,"April 26th, 2013",2013,3-59-1326,Almacafé,neiva,0.11,250,Natural / Dry,ORLANDO ORTIZ / HIPOLITO TORRES,pitalito,Arabica,10.0,10.0,Caturra,1000.0,1000.0,1000.0,83.33
411,7.67,7.17,7.83,69 kg,7.67,7.67,0,3,10.0,Green,"unex guatemala, s.a.",Guatemala,7.67,"February 26th, 2014",EL SACRAMENTO,7.67,"February 26th, 2013",2013,11/23/0419,Asociacion Nacional Del Café,beneficio ixchel,0.11,250,Washed / Wet,LUIS RODRIGUEZ,oriente,Arabica,10.0,10.0,Bourbon,1310.64,1310.64,1310.64,83.33
412,7.83,7.58,7.92,100 lbs,7.67,7.67,0,4,10.0,Bluish-Green,kona pacific farmers cooperative,United States (Hawaii),7.83,"January 24th, 2014",,7.5,"January 24th, 2013",2012,2234503 KONA PRIME,Specialty Coffee Association,,0.1,7,Natural / Dry,,kona,Arabica,10.0,9.33,Hawaiian Kona,,,,83.33
413,7.5,7.33,7.75,60 kg,7.75,7.5,0,5,10.0,,the specialty coffee appraisers institute of asia,Burundi,7.83,"August 29th, 2013",Sogestal Kayanza,7.67,"August 29th, 2012",2012,,Specialty Coffee Association,kiriyama washing station,0.0,220,Washed / Wet,,kayanza,Arabica,10.0,10.0,Bourbon,1880.0,1880.0,1880.0,83.33
414,7.58,7.67,7.5,70 kg,7.58,7.67,0,1,10.0,Green,exportadora de cafe condor s.a,Colombia,7.67,"May 30th, 2013",,7.67,"May 30th, 2012",2012,3-68-0133,Almacafé,trilladora boananza,0.0,250,Washed / Wet,condor,huila,Arabica,10.0,10.0,Caturra,1750.0,1750.0,1750.0,83.33
415,7.75,7.83,8.08,100 lbs,7.58,7.67,0,0,10.0,,,United States (Hawaii),7.92,"September 19th, 2012",,7.83,"September 20th, 2011",,,Specialty Coffee Association,,0.01,27,,,kona,Arabica,9.33,9.33,,,,,83.33
416,7.5,7.58,7.58,100 lbs,7.67,7.83,0,0,10.0,,,United States (Hawaii),7.5,"February 24th, 2012",,7.67,"February 24th, 2011",,HDOA #210307,Specialty Coffee Association,,0.0,25,,,,Arabica,10.0,10.0,,,,,83.33
417,7.83,7.42,7.67,50 kg,7.5,7.33,0,0,10.0,Blue-Green,cafe de don balbino s.c. de r.l. de c.v.,Mexico,7.67,"March 7th, 2018",CORTA PICO,7.83,"March 7th, 2017",2017,,Centro Agroecológico del Café A.C.,la catedral del cafe,0.11,50,Washed / Wet,BALBINO RAMIREZ FLORES,sierra madre occidental,Arabica,10.0,10.0,Typica,1600.0,1600.0,1600.0,83.25
418,7.5,7.83,7.5,46 kg,7.67,7.67,0,0,10.0,Green,bold coast coffee,Costa Rica,7.58,"January 30th, 2018",Estate La Patricia,7.5,"January 30th, 2017",2016,,Specialty Coffee Association,micro beneficio la cabaña-javier meza,0.11,29,Pulped natural / honey,Manuel Montero,tarrazu,Arabica,10.0,10.0,Catuai,1900.0,1900.0,1900.0,83.25
419,7.67,7.42,7.83,69 kg,7.67,7.5,0,0,10.0,,panamerican coffee trading,Costa Rica,7.67,"September 20th, 2017",Coopellanobonito,7.5,"September 20th, 2016",2015,5-139-0050,Specialty Coffee Association of Costa Rica,coocafe r.l,0.11,275,Washed / Wet,Coopellanobonito,tarrazu,Arabica,10.0,10.0,,,,,83.25
420,7.83,7.42,7.5,0 kg,7.58,7.67,0,7,10.0,Green,mercon guatemala s.a.,Guatemala,7.67,"August 12th, 2017",LINDA VISTA,7.58,"August 12th, 2016",2016,11/973/152,Asociacion Nacional Del Café,linda vista,0.11,275,Washed / Wet,PABLO CHUY,nuevo oriente,Arabica,10.0,10.0,Pacas,2100.0,2100.0,2100.0,83.25
421,7.42,7.67,7.5,9000 kg,7.67,7.67,0,1,10.0,Green,kawacom uganda ltd,Uganda,7.67,"May 19th, 2017",Kawacom Uganda LTD Sipi Farmers Group,7.67,"May 19th, 2016",2015,035/170/5061178,Uganda Coffee Development Authority,kawacom,0.12,150,Washed / Wet,Kawacom Uganda LTD,"sipi, mt elgon",Arabica,10.0,10.0,SL14,,,,83.25
422,7.5,7.42,7.58,60 kg,7.42,7.67,0,4,10.0,Green,bourbon specialty coffees,Brazil,8.0,"January 11th, 2017",,7.67,"January 12th, 2016",2016,002/4542/0189,Brazil Specialty Coffee Association,dinamo armazens gerais ltda,0.12,300,,,campos altos - cerrado,Arabica,10.0,10.0,,,,,83.25
423,7.17,7.67,7.58,35 kg,7.83,7.75,0,2,10.0,Green,carcafe ltda,Colombia,7.58,"November 26th, 2016",,7.67,"November 27th, 2015",2015/2016,3-59-0318,Almacafé,neiva,0.0,304,Natural / Dry,FRANKLIN DUSSAN,huila,Arabica,10.0,10.0,Caturra,442.0,442.0,442.0,83.25
424,7.58,7.5,7.83,2 kg,7.58,7.58,0,2,10.0,Bluish-Green,productos y servicios chilindron s.a. de c.v.,Mexico,7.42,"July 13th, 2016",Los charcos,7.75,"July 14th, 2015",2015,3,Asociación Mexicana De Cafés y Cafeterías De Especialidad A.C.,la yerba,0.12,11,Natural / Dry,Rafael Arroyo Zoto,cuarenteño,Arabica,10.0,10.0,Typica,1261.0,1261.0,1261.0,83.25
425,7.5,7.5,7.67,15 kg,7.83,7.67,0,0,10.0,Blue-Green,taiwan coffee laboratory,Taiwan,7.58,"June 17th, 2016",Sunshine Valley Estate 向陽高山咖啡,7.5,"June 18th, 2015",2015,Taiwan,Specialty Coffee Association,sunshine valley estate 向陽高山咖啡,0.1,10,Washed / Wet,LIN YEN CHIEN 林言謙,natou county,Arabica,10.0,10.0,Bourbon,1000.0,1000.0,1000.0,83.25
426,7.58,7.75,7.92,60 kg,7.33,7.5,0,0,10.0,Green,宸嶧國際,Taiwan,7.33,"November 23rd, 2015",以勒咖啡,7.83,"November 23rd, 2014",2014,Taiwanw台灣,Blossom Valley International,以勒咖啡,0.1,10,Washed / Wet,蘇詠晴,南投國姓,Arabica,10.0,10.0,Typica,800.0,800.0,800.0,83.25
427,7.58,7.5,7.58,70 kg,7.75,7.58,0,0,10.0,Green,ecom cca sa,Colombia,7.67,"June 24th, 2015",,7.58,"June 24th, 2014",2014,3-79-1818,Almacafé,trilladora boananza,0.0,250,Natural / Dry,,eje cafetero,Arabica,10.0,10.0,Caturra,1483.0,1483.0,1483.0,83.25
428,7.67,7.58,7.5,69 kg,7.5,7.67,0,1,10.0,Green,"siembras vision, s.a.",Guatemala,7.67,"March 7th, 2015",FINCA MEDINA,7.67,"March 7th, 2014",2014,11-11711-85 (MED),Asociacion Nacional Del Café,beneficio siembras vision (154),0.1,26,Washed / Wet,"SIEMBRAS VISIÓN, S.A.",antigua,Arabica,10.0,10.0,Caturra,1500.0,1500.0,1500.0,83.25
429,7.33,7.67,7.83,70 kg,7.67,7.67,0,1,10.0,Green,exportadora de cafe condor s.a,Colombia,7.58,"August 2nd, 2014",,7.5,"August 2nd, 2013",2013,3-68-0215,Almacafé,trilladora boananza,0.11,275,Washed / Wet,,huila,Arabica,10.0,10.0,Caturra,1750.0,1750.0,1750.0,83.25
430,7.5,7.5,7.58,1 kg,7.58,7.58,0,6,10.0,Green,"finca triunfo verde, s.c.",Mexico,7.75,"March 29th, 2014",VARIAS COMUIDADES,7.75,"March 29th, 2013",2013,2406,AMECAFE,productores de cafes especiales sc,0.12,200,Washed / Wet,VRIOS PRODUCTORES,chiapas,Arabica,10.0,10.0,Bourbon,1300.0,1300.0,1300.0,83.25
431,8.0,7.83,7.58,100 lbs,7.67,8.08,0,4,10.0,Bluish-Green,kona pacific farmers cooperative,United States (Hawaii),7.67,"March 21st, 2014",,7.75,"March 21st, 2013",2012,KF313630,Specialty Coffee Association,,0.11,11,Natural / Dry,,kona,Arabica,9.33,9.33,Hawaiian Kona,,,,83.25
432,7.58,7.58,7.75,1 kg,7.58,7.5,0,7,10.0,Green,finca teocelo,Mexico,7.67,"August 1st, 2013",FINCA TEOCELO,7.58,"August 1st, 2012",2012,0,AMECAFE,monte blanco,0.13,10,Washed / Wet,ERNESTO RODRIGUEZ LUNA,veracruz,Arabica,10.0,10.0,Mundo Novo,,,,83.25
433,7.92,7.42,7.75,1 kg,7.5,7.33,0,0,10.0,Blue-Green,,Mexico,7.58,"July 11th, 2013",MATA LARGA,7.75,"July 11th, 2012",2012,0,AMECAFE,finca mata larga,0.12,54,Washed / Wet,MODESTO LANDEROS FLORES,fortín de las flores,Arabica,10.0,10.0,Caturra,1000.0,1000.0,1000.0,83.25
434,7.83,7.08,7.83,1 kg,8.08,7.42,0,9,10.0,Green,"unex guatemala, s.a.",Guatemala,7.42,"July 9th, 2013",AGROPECUARIA QUIAGRAL,7.58,"July 9th, 2012",2012,11/23/0767,Asociacion Nacional Del Café,beneficio ixchel,0.11,250,Washed / Wet,AGROPECUARIA QUIAGRAL,oriente,Arabica,10.0,10.0,Bourbon,1310.64,1310.64,1310.64,83.25
435,7.58,7.5,7.75,60 kg,7.58,7.58,0,1,10.0,Blue-Green,nucoffee,Brazil,7.58,"February 22nd, 2013",Água Limpa,7.67,"February 23rd, 2012",2012,002/1251/0241,NUCOFFEE,,0.11,30,Semi-washed / Semi-pulped,Eliane de Andrade Cyrino Noqueira,grama valley,Arabica,10.0,10.0,Yellow Bourbon,1200.0,1200.0,1200.0,83.25
436,7.42,7.58,7.67,70 kg,7.58,7.83,0,1,10.0,Green,exportadora de cafe condor s.a,Colombia,7.58,"February 21st, 2013",,7.58,"February 22nd, 2012",2012,3-68-0089,Almacafé,trilladora boananza,0.12,250,Washed / Wet,,huila,Arabica,10.0,10.0,Caturra,175.0,175.0,175.0,83.25
437,7.5,7.5,7.67,70 kg,7.67,7.58,0,0,10.0,Green,c.i.racafe & cia s.c.a,Colombia,7.67,"February 8th, 2013",,7.67,"February 9th, 2012",2012,3-37-0661,Almacafé,,0.11,175,Washed / Wet,La Plata,la plata,Arabica,10.0,10.0,Caturra,1950.0,1600.0,1775.0,83.25
438,7.42,7.25,7.92,70 kg,7.58,7.83,0,0,10.0,,,Colombia,7.5,"June 13th, 2012",,7.75,"June 14th, 2011",1T/2011,3-68-0205,Almacafé,trilladora bonanza - armenia quindioa,0.08,250,,,huila,Arabica,10.0,10.0,,1800.0,1600.0,1700.0,83.25
439,7.25,7.67,8.0,70 kg,7.5,7.67,0,1,10.0,,,Colombia,7.5,"February 22nd, 2012",,7.67,"February 22nd, 2011",4t/2010,3-68-0107,Almacafé,trilladora bonanza - armenia quindioa,0.13,250,,,cauca,Arabica,10.0,10.0,,1880.0,1880.0,1880.0,83.25
440,7.42,7.5,7.92,70 kg,7.67,7.42,0,1,10.0,,,Colombia,7.58,"January 17th, 2012",,7.75,"January 17th, 2011",4T/2010,3-068-0108,Almacafé,trilladora bonanza - armenia quindio,0.04,250,,Exportadora de Café Cóndor S.A,cundinamarca,Arabica,10.0,10.0,,1800.0,1800.0,1800.0,83.25
441,7.58,7.5,7.67,60 kg,7.58,7.67,0,4,10.0,Green,ipanema coffees,Brazil,7.75,"October 20th, 2018",Fazenda Capoeirinha,7.42,"October 20th, 2017",2017 / 2018,002/1660/0079,Brazil Specialty Coffee Association,dry mill,0.11,320,Natural / Dry,Ipanema Agricola S.A,south of minas,Arabica,10.0,10.0,Bourbon,890.0,890.0,890.0,83.17
442,7.67,7.33,7.58,69 kg,7.58,7.75,0,1,10.0,Green,"unex guatemala, s.a.",Guatemala,7.67,"August 24th, 2018",BENEFICIO EL TORREON,7.58,"August 24th, 2017",2017,11/23/0673,Asociacion Nacional Del Café,beneficio ixchel,0.1,275,Washed / Wet,AGROINDUSTRIAS CAFETALERAS,oriente,Arabica,10.0,10.0,Bourbon,1901.0,1901.0,1901.0,83.17
443,7.67,7.42,7.67,60 kg,7.58,7.67,0,3,10.0,Green,volcafe/taylorwinch tanzania ltd,"Tanzania, United Republic Of",7.58,"June 20th, 2018",Mamsera,7.58,"June 20th, 2017",2016,033/0004,Tanzanian Coffee Board,rafiki (coffee) limited,0.12,320,Washed / Wet,Mamsera,moshi,Arabica,10.0,10.0,Bourbon,168.0,168.0,168.0,83.17
444,7.58,7.5,7.92,13800 kg,7.5,7.67,0,0,10.0,Green,prodlesur sa,Peru,7.5,"June 16th, 2018",,7.5,"June 16th, 2017",2017,543,Central De Organizaciones Productoras De Café y Cacao Del Perú - Central Café & Cacao,procesadora del sur sa,0.11,200,,,,Arabica,10.0,10.0,,,,,83.17
445,7.33,7.08,7.58,2 kg,8.58,7.58,0,0,10.0,None,"sunvirtue co., ltd.",Vietnam,7.58,"May 8th, 2018",Apollo Estate,7.42,"May 8th, 2017",2017,,Specialty Coffee Association,yes,0.07,1,Natural / Dry,"Yeh, Li Chuan",dala,Arabica,10.0,10.0,Catimor,1550.0,1550.0,1550.0,83.17
446,7.75,7.42,7.67,1500 kg,7.5,7.58,2,3,10.0,Green,"siembras vision, s.a.",Guatemala,7.5,"May 23rd, 2017",FINCA MEDINA,7.75,"May 23rd, 2016",2016,11/11711/58,Asociacion Nacional Del Café,beneficio siembras vision (154),0.11,250,Washed / Wet,FINCA MEDINA,antigua,Arabica,10.0,10.0,Caturra,1500.0,1500.0,1500.0,83.17
447,7.67,7.5,7.67,69 kg,7.67,7.5,0,1,10.0,Blue-Green,cadexsa,Honduras,7.5,"May 2nd, 2017",BETHEL,7.67,"May 2nd, 2016",2016,13-63-214,Instituto Hondureño del Café,dry mill,0.11,275,Washed / Wet,JOSE OMAR ACOSTA,marcala,Arabica,10.0,10.0,Catuai,1450.0,1450.0,1450.0,83.17
448,7.67,7.33,7.5,60 kg,7.67,7.67,0,0,10.0,Green,yunnan coffee exchange,China,7.67,"April 6th, 2017",Chen Lin,7.67,"April 6th, 2016",2015,,Yunnan Coffee Exchange,mojiang jinggong estate speciality development co.ltd mill,0.11,3,Washed / Wet,Mojiang Jinggong Estate Speciality Development Co.Ltd,yunnan,Arabica,10.0,10.0,Catimor,1200.0,1200.0,1200.0,83.17
449,7.67,7.5,7.67,60 kg,7.58,7.42,0,3,10.0,Green,yunnan coffee exchange,China,7.67,"April 5th, 2017",Yunnan Success Trade Co.Ltd,7.67,"April 5th, 2016",2015,,Yunnan Coffee Exchange,yunnan success trade co.ltd mill,0.1,3,Washed / Wet,Yunnan Success Trade Co.Ltd,dehong prefecture,Arabica,10.0,10.0,Catimor,1600.0,1600.0,1600.0,83.17
450,7.67,7.33,7.5,69 kg,7.67,8.0,0,0,10.0,Green,consejo salvadoreño del café,El Salvador,7.5,"March 29th, 2017",Agua Caliente,7.5,"March 29th, 2016",2016,9-392-68,Salvadoran Coffee Council,agua caliente,0.0,275,Washed / Wet,Ecom Agroindustrial Corp. Ltd.,apaneca,Arabica,10.0,10.0,Bourbon,1350.0,1350.0,1350.0,83.17
451,7.83,7.5,7.5,69 kg,7.5,7.58,0,1,10.0,Green,"siembras vision, s.a.",Guatemala,7.5,"October 28th, 2016",FINCA MEDINA,7.75,"October 29th, 2015",2015,11/11711/1,Asociacion Nacional Del Café,beneficio siembras vision (154),0.11,150,Washed / Wet,FINCA MEDINA,antigua,Arabica,10.0,10.0,Bourbon,1500.0,1500.0,1500.0,83.17
452,7.75,7.42,7.92,69 kg,7.5,7.5,0,3,10.0,Green,"unex guatemala, s.a.",Guatemala,7.42,"September 28th, 2016","LA ESPERANZA, MARGARITA NUYES",7.67,"September 29th, 2015",2015,11/23/2004,Asociacion Nacional Del Café,beneficio ixchel,0.12,100,Washed / Wet,PAPATURRO,oriente,Arabica,10.0,10.0,Bourbon,1900.0,1400.0,1650.0,83.17
453,7.75,7.67,7.83,2 kg,8.5,7.83,0,1,9.33,Bluish-Green,taylor winch (coffee) ltd,Kenya,7.83,"July 2nd, 2016",,7.75,"July 3rd, 2015",2014,37-0843-3305,Kenya Coffee Traders Association,,0.1,300,Washed / Wet,,kenya,Arabica,9.33,9.33,SL28,500.0,1.0,250.5,83.17
454,7.75,7.58,7.67,1 kg,7.67,7.42,0,0,10.0,Bluish-Green,doi tung development project,Thailand,7.5,"June 8th, 2016",,7.58,"June 9th, 2015",2014,-,Specialty Coffee Association,,0.12,1,Washed / Wet,Doi Tung Development Project,thailand,Arabica,10.0,10.0,,800.0,800.0,800.0,83.17
455,7.58,7.67,7.58,60 kg,7.58,7.42,0,6,10.0,Bluish-Green,tutunze kahawa ltd,"Tanzania, United Republic Of",7.67,"December 12th, 2015",Myanganyanga,7.67,"December 12th, 2014",2014,C9,Africa Fine Coffee Association,tutunze kahawa ltd,0.13,180,Washed / Wet,Tutunze Kahawa Ltd,mbinga,Arabica,10.0,10.0,Other,1653.0,1653.0,1653.0,83.17
456,7.67,7.5,7.58,70 kg,7.67,7.5,0,4,10.0,,racafe & cia s.c.a,Colombia,7.75,"November 5th, 2015",,7.5,"November 5th, 2014",2014,3-37-0119,Almacafé,,0.0,232,Washed / Wet,La Plata,huila,Arabica,10.0,10.0,Caturra,1950.0,1600.0,1775.0,83.17
457,7.42,7.5,8.0,60 kg,7.58,7.33,0,0,10.0,Bluish-Green,kabum trading company,Uganda,7.67,"October 28th, 2015",kaptanya,7.67,"October 28th, 2014",2014,0,Uganda Coffee Development Authority,gumutindo,0.1,84,Washed / Wet,Kabum Trading Company,eastern,Arabica,10.0,10.0,SL14,1800.0,1800.0,1800.0,83.17
458,7.58,7.5,7.58,4 lbs,7.58,7.58,10,3,10.0,Green,green mountain coffee,Colombia,7.58,"August 25th, 2015",unkown,7.75,"August 25th, 2014",2014,unkown,Specialty Coffee Association,unkown,0.11,1,Washed / Wet,unkown,,Arabica,10.0,10.0,,,,,83.17
459,7.67,7.5,7.5,1 kg,7.67,7.67,0,5,10.0,Green,"olam honduras, s.a.",Honduras,7.67,"April 12th, 2015",El Cerron,7.5,"April 12th, 2014",2013,13-01-2369,Instituto Hondureño del Café,rio hamaca,0.1,275,Natural / Dry,Nelson Melgar Melgar,san marcos,Arabica,10.0,10.0,Catuai,1450.0,1450.0,1450.0,83.17
460,7.67,7.5,7.67,1 kg,7.67,7.5,0,3,10.0,Green,cigrah,Honduras,7.5,"April 8th, 2015",Los Hicaques,7.67,"April 8th, 2014",2014/2015,13-111-193,Instituto Hondureño del Café,cigrah sps,0.11,275,Natural / Dry,Reynerio Zepeda,comayagua,Arabica,10.0,10.0,Caturra,1350.0,1350.0,1350.0,83.17
